Parlamentare,id,Partito,dataIngresso,905003,905006,905005,905004,905007,905008,905001,905002,905009,009002,009004,009005,009006,009003,009001
AIELLO FERDINANDO,306300,SI-SEL-POS-LU,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
IACONO MARIA,306302,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PALAZZOTTO ERASMO,306304,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Non ha votato,Favorevole,Contrario,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
BOSCO ANTONINO,306306,AP-CPE-NCD-NCI,2013-11-18,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
AMODDIO SOFIA,306308,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MAIETTA PASQUALE,306310,MISTO,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
ZARATTI FILIBERTO,306521,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
SANNICANDRO ARCANGELO,306523,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
GUIDESI GUIDO,306582,LNA,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario
DI STEFANO MARCO,306601,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CIRACI' NICOLA,306681,MISTO,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Contrario,Astensione,Astensione,,,,,,
MINNUCCI EMILIANO,306683,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ROMANINI GIUSEPPE,306685,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CAMANI VANESSA,306687,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PRINA FRANCESCO,306689,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SGAMBATO CAMILLA,306691,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Non ha votato,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BECATTINI LORENZO,306721,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MASSA FEDERICO,306723,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FALCONE GIOVANNI,306741,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
ALTIERI TRIFONE,306743,FI-PDL,2013-03-19,Astensione,Astensione,Astensione,Astensione,Contrario,Contrario,Astensione,Astensione,Astensione,,,,,,
FUSILLI GIANLUCA,306781,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BERGONZI MARCO,306821,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BOLDRINI PAOLA,306841,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MAESTRI ANDREA,306861,MISTO,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
BRIGNONE BEATRICE,306881,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
PALLADINO GIOVANNI,306883,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BARADELLO MAURIZIO,306921,DES-CD,2013-12-10,,,,,,,,,,,,,,,
SECCO DINO,306961,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MENORELLO DOMENICO,306981,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
AUCI ERNESTO,307021,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ZANETTI VERONICA,307061,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Non ha votato,Contrario,,,,,,
VERRECCHIA MASSIMO,307081,AP-CPE-NCD-NCI,2013-11-18,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LA TERZA VALENTINA,307083,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
TANTILLO GIULIO,307086,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BOSSI UMBERTO,32460,LNA,2013-03-19,,,,,,,,,,,,,,,
DEL BASSO DE CARO UMBERTO,32910,PD,2013-03-19,,,,,,,,,,,,,,,
FAVA GIOVANNI GIUSEPPE CLAUDIO,33040,SI-SEL-POS-LU,2013-03-19,,,,,,,,,,,,,,,
LA RUSSA IGNAZIO BENITO MARIA,33410,FDI-AN,2013-04-03,,,,,,,,,,,,,,,
MELILLA GENEROSO,33730,SI-SEL-POS-LU,2013-03-19,,,,,,,,,,,,,,,
POLLASTRINI BARBARA MARIA SIMONETTA,34180,PD,2013-03-19,,,,,,,,,,,,,,,
TABACCI BRUNO,34580,MISTO,2013-03-19,,,,,,,,,,,,,,,
VENDOLA NICOLA,34690,SI-SEL-POS-LU,2013-03-19,,,,,,,,,,,,,,,
VITO ELIO,34730,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
GUERRA MAURO,34810,PD,2013-03-19,,,,,,,,,,,,,,,
ADORNATO FERDINANDO,34960,AP-CPE-NCD-NCI,2013-11-18,,,,,,,,,,,,,,,
AMICI MARIA TERESA,35030,PD,2013-03-19,,,,,,,,,,,,,,,
BINDI ROSARIA,35410,PD,2013-03-19,,,,,,,,,,,,,,,
BUTTIGLIONE ROCCO,35640,AP-CPE-NCD-NCI,2013-11-18,,,,,,,,,,,,,,,
CICU SALVATORE,35970,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
CRIMI ROCCO,36130,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
GALAN GIANCARLO,36660,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
GIBELLI ANDREA ANGELO,36820,LNA,2013-03-19,,,,,,,,,,,,,,,
MARTINO ANTONIO,37470,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
PRESTIGIACOMO STEFANIA,38350,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
ROTONDI GIANFRANCO,38560,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
SCANU GIAN PIERO,38700,PD,2013-03-19,,,,,,,,,,,,,,,
MONACO FRANCESCO,50047,PD,2013-03-19,,,,,,,,,,,,,,,
FIORONI GIUSEPPE,50079,PD,2013-03-19,,,,,,,,,,,,,,,
GIORGETTI GIANCARLO,50115,LNA,2013-03-19,,,,,,,,,,,,,,,
CAPARINI DAVIDE CARLO,50138,LNA,2013-03-19,,,,,,,,,,,,,,,
GIORGETTI ALBERTO,50160,AP-CPE-NCD-NCI,2013-11-18,,,,,,,,,,,,,,,
PISTELLI LAPO,50185,PD,2013-03-19,,,,,,,,,,,,,,,
PICCOLO SALVATORE,50210,PD,2013-03-19,,,,,,,,,,,,,,,
RUSSO PAOLO,50213,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
GALATI GIUSEPPE,50258,MISTO,2013-03-19,,,,,,,,,,,,,,,
PALMIZIO ELIO MASSIMO,50366,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
BRESSA GIANCLAUDIO,50437,PD,2013-03-19,,,,,,,,,,,,,,,
CESARO LUIGI,50442,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
LEONE ANTONIO,50447,AP-CPE-NCD-NCI,2013-11-18,,,,,,,,,,,,,,,
